area,perimeter,majoraxislength,minoraxislength,aspectration,eccentricity,convexarea,equivdiameter,extent,solidity,roundness,compactness,shapefactor1,shapefactor2,shapefactor3,shapefactor4,class
28395,610.2909999999999,208.17811670849997,173.8887470416,1.1971914241,0.5498121871,28715,190.1410972745,0.7639225181999999,0.9888559986,0.9580271263,0.9133577548,0.0073315061,0.0031472892,0.8342223881999999,0.9987238890000001,SEKER
28734,638.018,200.5247956636,182.73441935099999,1.0973564607,0.4117852514,29172,191.27275048580003,0.7839681327,0.9849856026,0.8870336366,0.9538608423,0.0069786593000000004,0.0035636237,0.9098505064,0.9984303314,SEKER
29380,624.11,212.8261298602,175.9311426127,1.2097126563,0.5627273168,29690,193.41090409880002,0.7781132475,0.989558774,0.947849473,0.9087742384999999,0.007243911800000001,0.0030477332,0.8258706165999999,0.9990661373999999,SEKER
30008,645.884,210.5579989609,182.5165156953,1.1536380593,0.4986159764,30724,195.4670618248,0.7826812728,0.9766957426999999,0.9039363743000001,0.9283288348000001,0.0070167288,0.0032145621000000003,0.8617944254000001,0.9941988485,SEKER
30140,620.134,201.84788216669997,190.2792787866,1.0607980199,0.33367965780000003,30417,195.8965029762,0.7730980352,0.9908932505,0.9848770694,0.9705155231999999,0.00669701,0.0036649720000000003,0.9419003809000001,0.9991660590000001,SEKER
30279,634.927,212.56055642540002,181.5101815998,1.171066849,0.5204006603,30600,196.34770224029998,0.7756884847,0.9895098039,0.9438517833,0.9237259515,0.0070200653,0.0031527787,0.8532696335,0.9992357811,SEKER
30477,670.033,211.0501553218,184.03905011290001,1.1467683364,0.4894778945,30970,196.988633187,0.7624015009,0.9840813691,0.8530798688,0.9333735523000001,0.0069248993000000005,0.0032420162,0.8711861881,0.9990487356000001,SEKER
30519,629.727,212.9967550563,182.7372037641,1.1655905348,0.513759558,30847,197.12432033049998,0.7706818181999999,0.9893668752,0.9671092440000001,0.9254803918000001,0.0069791525,0.0031582851000000003,0.8565139556999999,0.9983445595999999,SEKER
30685,635.681,213.53414516450002,183.15714629599998,1.1658521083,0.5140808603,31044,197.65969601869998,0.7715614784999999,0.9884357686,0.9542398075,0.9256584977,0.0069589097,0.0031515495,0.8568436543000001,0.9989529809000001,SEKER
30834,631.934,217.2278127644,180.8974685738,1.2008339004000002,0.5536422247,31120,198.13901211619998,0.7836828059000001,0.9908097686,0.9702782301,0.91212543,0.007045074,0.0030080398,0.8319728000000001,0.9990611424,SEKER
30917,640.765,213.56008939310001,184.43987085900002,1.1578846179,0.5041023654,31280,198.4055115277,0.7708052854999999,0.9883951406999999,0.9462581798999999,0.9290383428,0.0069075295,0.0031742203000000003,0.8631122423,0.9993843889,SEKER
31091,638.558,210.48625487080002,188.32684762009998,1.1176646215000001,0.44662192359999997,31458,198.9630384905,0.7863773173999999,0.9883336512,0.9581728356,0.9452543046999999,0.0067700059,0.0033339837,0.8935057005,0.9986397106,SEKER
31107,640.594,214.64854850759997,184.9692525856,1.1604552946,0.5073658753,31423,199.0142269238,0.7610461418000001,0.9899436718000001,0.9525817569,0.9271631618999999,0.0069003295,0.0031453883000000004,0.8596315287,0.9975639589,SEKER
31158,642.626,216.4848362086,183.6443121561,1.1788267966,0.529514251,31492,199.1773022582,0.7987592289,0.9893941318,0.948119004,0.9200519803,0.006947969599999999,0.0030710517,0.8464956465000001,0.9978717512,SEKER
31158,641.105,212.0669751385,187.1929600684,1.1328790092,0.46992415670000004,31474,199.1773022582,0.7813134733,0.989959967,0.9526231012999999,0.9392188582,0.0068061806,0.0032670099,0.8821320637000001,0.9993488983,SEKER
31178,636.888,212.97592517560003,186.5620882322,1.141582018,0.48235222450000004,31520,199.241216935,0.7641104821,0.9891497462000001,0.965899596,0.9355105126000001,0.0068309682,0.0032274290999999996,0.8751799192,0.9990896583,SEKER
31202,644.4540000000001,215.6406946984,184.4716842455,1.1689636574,0.5178712233,31573,199.3178874934,0.7791928878000001,0.9882494535999999,0.9440792434,0.9243055340999999,0.0069111177,0.0031116466,0.8543407204000001,0.9986932531999999,SEKER
31203,639.7819999999999,215.06773695220002,184.8748759441,1.1633151117,0.5109468292,31558,199.32108146,0.7629841548999999,0.9887508714,0.9579485418000001,0.9267828094,0.0068925340000000005,0.0031366825,0.8589263758,0.9992020327,SEKER
31272,638.6659999999999,212.45031894919998,187.5359389941,1.1328512289,0.46988349420000003,31593,199.5413416888,0.7703221992,0.9898395214,0.9634250364,0.9392376659,0.0067936275,0.0032612455,0.882167393,0.9993644153,SEKER
31335,635.011,216.7900922868,184.1634402999,1.177161395,0.5275867101,31599,199.7422367309,0.7742772424,0.9916453051999999,0.9765108345,0.9213623862,0.0069184647,0.0030754694,0.8489086467,0.9993024867,SEKER
31374,636.401,219.86539400830003,182.00886369810001,1.2079927842,0.5609945201,31604,199.86649913509999,0.7691968226000001,0.9927224402,0.9734598623999999,0.9090402791,0.007007885300000001,0.0029518838,0.8263542290000001,0.9982299459,SEKER
31530,638.857,213.78565434740003,188.0664823443,1.1367557455,0.4755356415,31791,200.3627780939,0.7689493708,0.9917901293000001,0.9707927387,0.9372133912,0.0067803887,0.0032269207,0.8783689406,0.9984909398999999,SEKER
31573,674.1030000000001,217.30702605849999,185.4482506708,1.1717933454,0.5212683904,32197,200.49935697130002,0.7569647567,0.9806193124,0.873118507,0.922654737,0.0068826854000000005,0.0030767665,0.8512917637,0.9975380237,SEKER
31637,656.711,229.7192546364,175.51044597540002,1.3088637167000001,0.645190802,32045,200.7024650491,0.7618233481000001,0.9872679045,0.921842182,0.8736858622,0.0072610947999999995,0.0026097752,0.7633269858,0.9990909956999999,SEKER
31675,657.431,236.7526321094,171.2105591846,1.3828155999,0.6906782193000001,32009,200.8229632773,0.7409356725,0.9895654347,0.9209289601999999,0.8482396225,0.007474432,0.0023868887,0.7195104571,0.9949502844,SEKER
31682,646.721,210.04568162669997,192.2484159477,1.0925743164,0.4028419736,32026,200.84515243419997,0.773184303,0.9892587273000001,0.9518938631,0.9561974847,0.0066298113,0.0034187813,0.9143136297,0.9989555889,SEKER
31703,656.305,215.70890673990002,187.2724496903,1.1518453841,0.49626328090000005,32093,200.9117052009,0.7771105009999999,0.9878478173,0.9249085601,0.9314019909000001,0.0068040535,0.0031586109000000004,0.8675096687,0.9992370076,SEKER
31748,641.826,219.7765182998,184.11510531189998,1.1936908595,0.5460726276,32020,201.0542440891,0.7755899741,0.9915053092,0.968482156,0.9148122176000001,0.0069225311,0.0029906976000000003,0.8368813934999999,0.9989776698999999,SEKER
31768,650.9540000000001,220.95949486,183.2920680766,1.2055049473000001,0.5584652592,32173,201.11756227919997,0.7776744186,0.9874118048999999,0.9421046298000001,0.9102010412,0.006955410899999999,0.0029447733,0.8284659354,0.9987197837,SEKER
